image_name,target_angle,predicted_perm1,predicted_perm
tile_r2_c7.tiff,50,0.563144922,29.14692736
tile_r2_c7.tiff,60,0.532220483,28.09549642
tile_r2_c7.tiff,70,0.481524795,26.37184304
tile_r2_c7.tiff,80,0.464709669,25.80012876
tile_r2_c7.tiff,90,0.485631317,26.51146477
tile_r2_c7.tiff,100,0.481005818,26.3541978
tile_r2_c7.tiff,110,0.465370297,25.82259011
tile_r2_c7.tiff,120,0.448802143,25.25927287
tile_r2_c7.tiff,130,0.409460485,23.92165649
tile_r2_c7.tiff,140,0.367179066,22.48408824
tile_r2_c7.tiff,150,0.353982657,22.03541034
tile_r2_c7.tiff,160,0.426903099,24.51470536
tile_r2_c7.tiff,170,0.514535308,27.49420047
tile_r2_c7.tiff,180,0.570055127,29.38187432
tile_r2_c8.tiff,0,0.452467829,25.38390619
tile_r2_c8.tiff,10,0.485559881,26.50903594
tile_r2_c8.tiff,20,0.513369679,27.4545691
tile_r2_c8.tiff,30,0.536152005,28.22916818
tile_r2_c8.tiff,40,0.552815199,28.79571676
tile_r2_c8.tiff,50,0.561001718,29.07405841
tile_r2_c8.tiff,60,0.521454573,27.72945547
tile_r2_c8.tiff,70,0.450125575,25.30426955
tile_r2_c8.tiff,80,0.419072121,24.24845213
tile_r2_c8.tiff,90,0.437457651,24.87356013
tile_r2_c8.tiff,100,0.442765385,25.05402309
tile_r2_c8.tiff,110,0.447850555,25.22691888
tile_r2_c8.tiff,120,0.45113048,25.33843631
tile_r2_c8.tiff,130,0.430639863,24.64175534
tile_r2_c8.tiff,140,0.393000811,23.36202759
tile_r2_c8.tiff,150,0.363263935,22.35097378
tile_r2_c8.tiff,160,0.393152386,23.36718112
tile_r2_c8.tiff,170,0.437887996,24.88819188
tile_r2_c8.tiff,180,0.487701446,26.58184916
tile_r2_c9.tiff,0,0.57732451,29.62903333
tile_r2_c9.tiff,10,0.510724723,27.36464059
tile_r2_c9.tiff,20,0.463444859,25.7571252
tile_r2_c9.tiff,30,0.444850475,25.12491614
tile_r2_c9.tiff,40,0.465042621,25.81144911
tile_r2_c9.tiff,50,0.501567662,27.0533005
tile_r2_c9.tiff,60,0.503627241,27.12332618
tile_r2_c9.tiff,70,0.48973456,26.65097505
tile_r2_c9.tiff,80,0.494421214,26.81032127
tile_r2_c9.tiff,90,0.520669281,27.70275557
tile_r2_c9.tiff,100,0.518491387,27.62870717
tile_r2_c9.tiff,110,0.50416702,27.14167869
tile_r2_c9.tiff,120,0.497529536,26.91600424
tile_r2_c9.tiff,130,0.466691643,25.86751586
tile_r2_c9.tiff,140,0.431074709,24.6565401
tile_r2_c9.tiff,150,0.429431349,24.60066587
tile_r2_c9.tiff,160,0.510659754,27.36243165
tile_r2_c9.tiff,170,0.593226194,30.16969061
tile_r2_c9.tiff,180,0.611393571,30.78738141
tile_r2_c10.tiff,0,0.618600368,31.03241253
tile_r2_c10.tiff,10,0.564727187,29.20072436
tile_r2_c10.tiff,20,0.511344075,27.38569856
tile_r2_c10.tiff,30,0.490808576,26.6874916
tile_r2_c10.tiff,40,0.515638173,27.53169787
tile_r2_c10.tiff,50,0.560799956,29.06719851
tile_r2_c10.tiff,60,0.566797495,29.27111483
tile_r2_c10.tiff,70,0.555867612,28.89949882
tile_r2_c10.tiff,80,0.564955473,29.20848608
tile_r2_c10.tiff,90,0.595424354,30.24442804
tile_r2_c10.tiff,100,0.590406477,30.07382023
tile_r2_c10.tiff,110,0.566164911,29.24960697
tile_r2_c10.tiff,120,0.547785401,28.62470365
tile_r2_c10.tiff,130,0.501911283,27.06498361
tile_r2_c10.tiff,140,0.454277962,25.44545072
tile_r2_c10.tiff,150,0.450974464,25.33313179
tile_r2_c10.tiff,160,0.550568759,28.71933782
tile_r2_c10.tiff,170,0.654359341,32.24821758
tile_r2_c10.tiff,180,0.679297805,33.09612536
tile_r3_c1.tiff,0,0.630916238,31.45115209
tile_r3_c1.tiff,10,0.55175674,28.75972915
tile_r3_c1.tiff,20,0.498385757,26.94511575
tile_r3_c1.tiff,30,0.474524826,26.13384408
tile_r3_c1.tiff,40,0.489344865,26.63772541
tile_r3_c1.tiff,50,0.52279073,27.77488482
tile_r3_c1.tiff,60,0.518668771,27.63473821
tile_r3_c1.tiff,70,0.4971295,26.902403
tile_r3_c1.tiff,80,0.498637885,26.95368809
tile_r3_c1.tiff,90,0.526651561,27.90615308
tile_r3_c1.tiff,100,0.525361776,27.8623004
tile_r3_c1.tiff,110,0.510697961,27.36373067
tile_r3_c1.tiff,120,0.503874063,27.13171816
tile_r3_c1.tiff,130,0.471162319,26.01951885
tile_r3_c1.tiff,140,0.43536678,24.80247051
tile_r3_c1.tiff,150,0.440120071,24.96408242
tile_r3_c1.tiff,160,0.539242029,28.33422899
tile_r3_c1.tiff,170,0.639296114,31.73606789
tile_r3_c1.tiff,180,0.662014484,32.50849247
tile_r3_c2.tiff,0,0.474796504,26.14308113
tile_r3_c2.tiff,10,0.421895206,24.344437
tile_r3_c2.tiff,20,0.404179841,23.7421146
tile_r3_c2.tiff,30,0.401400119,23.64760405
tile_r3_c2.tiff,40,0.418374091,24.22471911
tile_r3_c2.tiff,50,0.439582884,24.94581807
tile_r3_c2.tiff,60,0.430740565,24.64517921
tile_r3_c2.tiff,70,0.409267485,23.91509449
tile_r3_c2.tiff,80,0.406091839,23.80712253
tile_r3_c2.tiff,90,0.424719542,24.44046444
tile_r3_c2.tiff,100,0.422299057,24.35816795
tile_r3_c2.tiff,110,0.415085584,24.11290985
tile_r3_c2.tiff,120,0.413386166,24.05512965
tile_r3_c2.tiff,130,0.393658251,23.38438052
tile_r3_c2.tiff,140,0.367258519,22.48678964
tile_r3_c2.tiff,150,0.358542293,22.19043797
tile_r3_c2.tiff,160,0.404885203,23.76609689
tile_r3_c2.tiff,170,0.455461621,25.48569512
tile_r3_c2.tiff,180,0.476828486,26.21216851
