angle,Porosity,Surface_Area,Permeability_X,augmented,aug_perm,image_name
110,56.55517578,5625,0.9887056,1.2068093,0.048637845,15
120,56.72302246,5683,0.8851737,1.0806869,0.042993593,15
130,55.56182861,5600,0.97725326,0.96673024,0.037893785,15
140,54.80499268,5551,1.5816002,0.8915683,0.034530124,15
150,54.45404053,5530,1.7614981,0.7856342,0.029789343,15
160,54.4708252,5569,1.8427029,0.9887056,0.03887723,15
170,54.51507568,5748,2.1284206,0.8851737,0.034243952,15
180,54.11987305,5768,3.0258062,0.97725326,0.038364713,15
0,54.09698486,5776,2.8312356,1.7614981,0.073461376,16
10,55.64727783,5726,2.615322,1.8427029,0.077095467,16
20,56.51855469,5624,2.6615942,2.1284206,0.089881956,16
30,56.63757324,5675,2.6067715,3.0258062,0.130041915,16
40,55.54046631,5594,2.2045727,2.8312356,0.121334457,16
50,54.8614502,5551,1.4262618,2.615322,0.111671853,16
60,54.4128418,5537,1.2068093,2.6615942,0.113742635,16
70,54.4921875,5555,1.0806869,2.6067715,0.1112892,16
80,54.52423096,5768,0.96673024,2.2045727,0.093289928,16
90,54.09088135,5765,0.8915683,1.4262618,0.058458822,16
100,55.6427002,5716,0.7856342,1.2068093,0.048637845,16
110,56.55517578,5625,0.9887056,1.0806869,0.042993593,16
120,56.72302246,5683,0.8851737,0.96673024,0.037893785,16
130,55.56182861,5600,0.97725326,0.8915683,0.034530124,16
140,54.80499268,5551,1.5816002,0.7856342,0.029789343,16
150,54.45404053,5530,1.7614981,0.9887056,0.03887723,16
160,54.4708252,5569,1.8427029,0.8851737,0.034243952,16
170,54.51507568,5748,2.1284206,0.97725326,0.038364713,16
180,54.11987305,5768,3.0258062,1.5816002,0.065410553,16
0,54.09698486,5776,2.8312356,1.8427029,0.077095467,17
10,55.64727783,5726,2.615322,2.1284206,0.089881956,17
20,56.51855469,5624,2.6615942,3.0258062,0.130041915,17
30,56.63757324,5675,2.6067715,2.8312356,0.121334457,17
40,55.54046631,5594,2.2045727,2.615322,0.111671853,17
50,54.8614502,5551,1.4262618,2.6615942,0.113742635,17
60,54.4128418,5537,1.2068093,2.6067715,0.1112892,17
70,54.4921875,5555,1.0806869,2.2045727,0.093289928,17
80,54.52423096,5768,0.96673024,1.4262618,0.058458822,17
90,54.09088135,5765,0.8915683,1.2068093,0.048637845,17
100,55.6427002,5716,0.7856342,1.0806869,0.042993593,17
110,56.55517578,5625,0.9887056,0.96673024,0.037893785,17
120,56.72302246,5683,0.8851737,0.8915683,0.034530124,17
130,55.56182861,5600,0.97725326,0.7856342,0.029789343,17
140,54.80499268,5551,1.5816002,0.9887056,0.03887723,17
150,54.45404053,5530,1.7614981,0.8851737,0.034243952,17
160,54.4708252,5569,1.8427029,0.97725326,0.038364713,17
170,54.51507568,5748,2.1284206,1.5816002,0.065410553,17
180,54.11987305,5768,3.0258062,1.7614981,0.073461376,17
0,54.09698486,5776,2.8312356,2.1284206,0.089881956,18
10,55.64727783,5726,2.615322,3.0258062,0.130041915,18
20,56.51855469,5624,2.6615942,2.8312356,0.121334457,18
30,56.63757324,5675,2.6067715,2.615322,0.111671853,18
40,55.54046631,5594,2.2045727,2.6615942,0.113742635,18
50,54.8614502,5551,1.4262618,2.6067715,0.1112892,18
60,54.4128418,5537,1.2068093,2.2045727,0.093289928,18
70,54.4921875,5555,1.0806869,1.4262618,0.058458822,18
80,54.52423096,5768,0.96673024,1.2068093,0.048637845,18
90,54.09088135,5765,0.8915683,1.0806869,0.042993593,18
100,55.6427002,5716,0.7856342,0.96673024,0.037893785,18
110,56.55517578,5625,0.9887056,0.8915683,0.034530124,18
120,56.72302246,5683,0.8851737,0.7856342,0.029789343,18
130,55.56182861,5600,0.97725326,0.9887056,0.03887723,18
140,54.80499268,5551,1.5816002,0.8851737,0.034243952,18
150,54.45404053,5530,1.7614981,0.97725326,0.038364713,18
160,54.4708252,5569,1.8427029,1.5816002,0.065410553,18
170,54.51507568,5748,2.1284206,1.7614981,0.073461376,18
180,54.11987305,5768,3.0258062,1.8427029,0.077095467,18
0,54.09698486,5776,2.8312356,3.0258062,0.130041915,19
10,55.64727783,5726,2.615322,2.8312356,0.121334457,19
20,56.51855469,5624,2.6615942,2.615322,0.111671853,19
30,56.63757324,5675,2.6067715,2.6615942,0.113742635,19
40,55.54046631,5594,2.2045727,2.6067715,0.1112892,19
50,54.8614502,5551,1.4262618,2.2045727,0.093289928,19
60,54.4128418,5537,1.2068093,1.4262618,0.058458822,19
70,54.4921875,5555,1.0806869,1.2068093,0.048637845,19
80,54.52423096,5768,0.96673024,1.0806869,0.042993593,19
90,54.09088135,5765,0.8915683,0.96673024,0.037893785,19
100,55.6427002,5716,0.7856342,0.8915683,0.034530124,19
110,56.55517578,5625,0.9887056,0.7856342,0.029789343,19
120,56.72302246,5683,0.8851737,0.9887056,0.03887723,19
130,55.56182861,5600,0.97725326,0.8851737,0.034243952,19
140,54.80499268,5551,1.5816002,0.97725326,0.038364713,19
150,54.45404053,5530,1.7614981,1.5816002,0.065410553,19
160,54.4708252,5569,1.8427029,1.7614981,0.073461376,19
170,54.51507568,5748,2.1284206,1.8427029,0.077095467,19
180,54.11987305,5768,3.0258062,2.1284206,0.089881956,19
0,67.73986816,4425,7.5414863,7.5414863,0.332128426,20
10,66.9128418,4382,7.2854013,7.2854013,0.320668065,20
20,67.99316406,4306,6.9789987,6.9789987,0.306955882,20
30,67.90618896,4311,6.554061,6.554061,0.287938995,20
40,68.27392578,4274,5.748756,5.748756,0.251899844,20
50,69.02618408,4257,6.2219505,6.2219505,0.273076328,20
60,68.39752197,4390,4.798402,4.798402,0.209369434,20
70,68.35021973,4404,4.3367624,4.3367624,0.188710058,20
80,67.90008545,4377,4.954606,4.954606,0.216359903,20
90,67.72613525,4415,4.696505,4.696505,0.204809322,20
100,66.88232422,4389,4.179174,4.179174,0.181657634,20
110,67.96722412,4304,5.1804247,5.1804247,0.226465781,20
120,67.89245605,4310,5.7322574,5.7322574,0.251161496,20
130,68.29833984,4262,6.4080944,6.4080944,0.281406672,20
140,68.94378662,4276,6.6653066,6.6653066,0.292917478,20
150,68.40209961,4389,8.098433,8.098433,0.357053003,20
160,68.36547852,4392,8.839948,8.839948,0.390237413,20
170,67.94128418,4391,8.410717,8.410717,0.371028392,20
180,67.83294678,4388,7.292422,7.292422,0.320982257,20
0,67.73986816,4425,7.5414863,7.2854013,0.320668065,21
10,66.9128418,4382,7.2854013,6.9789987,0.306955882,21
20,67.99316406,4306,6.9789987,6.554061,0.287938995,21
30,67.90618896,4311,6.554061,5.748756,0.251899844,21
40,68.27392578,4274,5.748756,6.2219505,0.273076328,21
50,69.02618408,4257,6.2219505,4.798402,0.209369434,21
60,68.39752197,4390,4.798402,4.3367624,0.188710058,21
70,68.35021973,4404,4.3367624,4.954606,0.216359903,21
80,67.90008545,4377,4.954606,4.696505,0.204809322,21
90,67.72613525,4415,4.696505,4.179174,0.181657634,21
100,66.88232422,4389,4.179174,5.1804247,0.226465781,21
110,67.96722412,4304,5.1804247,5.7322574,0.251161496,21
120,67.89245605,4310,5.7322574,6.4080944,0.281406672,21
130,68.29833984,4262,6.4080944,6.6653066,0.292917478,21
140,68.94378662,4276,6.6653066,8.098433,0.357053003,21
150,68.40209961,4389,8.098433,8.839948,0.390237413,21
160,68.36547852,4392,8.839948,8.410717,0.371028392,21
170,67.94128418,4391,8.410717,7.292422,0.320982257,21
180,67.83294678,4388,7.292422,7.5414863,0.332128426,21
0,67.73986816,4425,7.5414863,6.9789987,0.306955882,22
10,66.9128418,4382,7.2854013,6.554061,0.287938995,22
20,67.99316406,4306,6.9789987,5.748756,0.251899844,22
30,67.90618896,4311,6.554061,6.2219505,0.273076328,22
40,68.27392578,4274,5.748756,4.798402,0.209369434,22
50,69.02618408,4257,6.2219505,4.3367624,0.188710058,22
60,68.39752197,4390,4.798402,4.954606,0.216359903,22
70,68.35021973,4404,4.3367624,4.696505,0.204809322,22
80,67.90008545,4377,4.954606,4.179174,0.181657634,22
90,67.72613525,4415,4.696505,5.1804247,0.226465781,22
100,66.88232422,4389,4.179174,5.7322574,0.251161496,22
110,67.96722412,4304,5.1804247,6.4080944,0.281406672,22
120,67.89245605,4310,5.7322574,6.6653066,0.292917478,22
130,68.29833984,4262,6.4080944,8.098433,0.357053003,22
140,68.94378662,4276,6.6653066,8.839948,0.390237413,22
150,68.40209961,4389,8.098433,8.410717,0.371028392,22
160,68.36547852,4392,8.839948,7.292422,0.320982257,22
170,67.94128418,4391,8.410717,7.5414863,0.332128426,22
180,67.83294678,4388,7.292422,7.2854013,0.320668065,22
0,67.73986816,4425,7.5414863,6.554061,0.287938995,23
10,66.9128418,4382,7.2854013,5.748756,0.251899844,23
20,67.99316406,4306,6.9789987,6.2219505,0.273076328,23
30,67.90618896,4311,6.554061,4.798402,0.209369434,23
40,68.27392578,4274,5.748756,4.3367624,0.188710058,23
50,69.02618408,4257,6.2219505,4.954606,0.216359903,23
60,68.39752197,4390,4.798402,4.696505,0.204809322,23
70,68.35021973,4404,4.3367624,4.179174,0.181657634,23
80,67.90008545,4377,4.954606,5.1804247,0.226465781,23
90,67.72613525,4415,4.696505,5.7322574,0.251161496,23
100,66.88232422,4389,4.179174,6.4080944,0.281406672,23
110,67.96722412,4304,5.1804247,6.6653066,0.292917478,23
120,67.89245605,4310,5.7322574,8.098433,0.357053003,23
130,68.29833984,4262,6.4080944,8.839948,0.390237413,23
140,68.94378662,4276,6.6653066,8.410717,0.371028392,23
